Study,Site Number,Site Name,SubjectName,Open Date,Open By,Query Text,Group Name,Response Date,Responded By,Answer Text,Query Closed Date,Closed By,Query Status
ABC TEST TRIAL,231,Site 231,2311231,15-Jun-23,QZH,1,CDM,29-Jun-23,IVO,Updated,1-Jul-23,RYV,Closed
ABC TEST TRIAL,285,Site 285,2851285,15-Jun-23,OXZ,1,CDM,16-Jun-23,ALC,Updated,16-Jun-23,IJE,Closed
ABC TEST TRIAL,132,Site 132,1321132,15-Jun-23,NCD,1,CDM,22-Jun-23,JPE,Updated,22-Jun-23,XFS,Closed
ABC TEST TRIAL,374,Site 374,3741374,15-Jun-23,GGG,1,CDM,22-Jun-23,EVH,Updated,22-Jun-23,JNP,Closed
ABC TEST TRIAL,344,Site 344,3441344,15-Jun-23,IJI,1,CDM,27-Jun-23,CWP,Updated,27-Jun-23,FOH,Closed
ABC TEST TRIAL,124,Site 124,1241124,15-Jun-23,PKN,1,CDM,7-Jul-23,DTK,Updated,10-Jul-23,OGW,Closed
ABC TEST TRIAL,366,Site 366,3661366,15-Jun-23,XHQ,1,CDM,16-Jun-23,GHR,Updated,16-Jun-23,YCL,Closed
ABC TEST TRIAL,496,Site 496,4961496,15-Jun-23,JNH,1,CDM,27-Jun-23,ZUC,Updated,27-Jun-23,SFQ,Closed
ABC TEST TRIAL,391,Site 391,3911391,15-Jun-23,SUW,1,CDM,16-Jun-23,GIR,Updated,16-Jun-23,XJN,Closed
ABC TEST TRIAL,293,Site 293,2931293,15-Jun-23,CJF,1,CDM,16-Jun-23,JSY,Updated,16-Jun-23,KFK,Closed
ABC TEST TRIAL,404,Site 404,4041404,15-Jun-23,XMZ,1,CDM,7-Jul-23,WBX,Updated,10-Jul-23,UJE,Closed
ABC TEST TRIAL,294,Site 294,2941294,16-Jun-23,NJE,1,CDM,16-Jun-23,OND,Updated,16-Jun-23,GII,Closed
ABC TEST TRIAL,107,Site 107,1071107,16-Jun-23,JUW,1,CDM,21-Jun-23,MTT,Updated,21-Jun-23,PAG,Closed
